"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"191","Thanks @LTHEchat @andrewmid for great #lthechat and to @kjhaxton @mberry @profpeterbrad @alacre for your ideas that made me think",FALSE,5,NA,2017-04-05 20:00:58,FALSE,NA,"849713495167913984",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mattcornock",1,FALSE,FALSE,NA,NA
"192","@srowett @TheOtherDrX @Charlesknight @LTHEchat So true. Moral of story - don't design too much. #lthechat",FALSE,1,"srowett",2017-04-05 20:00:51,FALSE,"849713266871996417","849713464046170118","351707332","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","alacre",0,FALSE,FALSE,NA,NA
"193","Q6 I think university learning will come out of the university. Future less campus-based #LTHEchat",FALSE,2,NA,2017-04-05 20:00:50,FALSE,NA,"849713461726769152",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","sallyburruk",0,FALSE,FALSE,NA,NA
"194","@jamesclay To a point but there’s a distinction between gathering data to be used for unknown purposes and using ow… https://t.co/F7NelPyxpS",FALSE,0,"jamesclay",2017-04-05 20:00:34,TRUE,"849713129554628608","849713395091877888","2272841","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","kjhaxton",0,FALSE,FALSE,NA,NA
"195","RT @PodcastEdtech: What's the prize for getting #edugaming right?

Listen: https://t.co/6www3QDSKy

#teachmeet #edtech #edutech #LTHEchat #…",FALSE,0,NA,2017-04-05 20:00:29,FALSE,NA,"849713374275547141",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","EastmentRob",1,TRUE,FALSE,NA,NA
"196","@LTHEchat #lthechat a6 probably me sat at a desk in a small cubicle with a call centre-style headset answering the world's problems.",FALSE,3,"LTHEchat",2017-04-05 20:00:28,FALSE,"849711014979538944","849713366520168449","2659221798","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheOtherDrX",0,FALSE,FALSE,NA,NA
"197","@PLumsden A6 Amazed how many times attendance comes up... surely there's something we can do about supporting learn… https://t.co/kzTEryscGO",FALSE,0,"PLumsden",2017-04-05 20:00:25,TRUE,"849712398474895361","849713356407787520","294087641","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mattcornock",0,FALSE,FALSE,NA,NA
"198","@LTHEchat @LTHEchat A6 Flatter, flexible learning spaces not teaching spaces but thinking virtual as well, not rubbish Moodle #LTHEchat",FALSE,0,"LTHEchat",2017-04-05 20:00:17,FALSE,"849711014979538944","849713320697450496","2659221798","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","santanuvasant",0,FALSE,FALSE,NA,NA
"199","@TheOtherDrX @Charlesknight @LTHEchat And you can bet one yellow chair breaks, manufacturer stops making them, so o… https://t.co/dW3PjwNPsc",FALSE,2,"TheOtherDrX",2017-04-05 20:00:04,TRUE,"849712999434788865","849713266871996417","836294082","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","srowett",0,FALSE,FALSE,NA,NA
"200","@LTHEchat A6 flexibility and choice #lthechat",FALSE,1,"LTHEchat",2017-04-05 20:00:01,FALSE,"849711014979538944","849713254750400514","2659221798","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","suebecks",0,FALSE,FALSE,NA,NA
"201","A5 Yes, but we've now reached the age where staff expectations of social media are very different to student expect… https://t.co/gKrELv678U",FALSE,2,NA,2017-04-05 19:59:58,TRUE,NA,"849713241026691072",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DrLancaster",0,FALSE,FALSE,NA,NA
"202","@LTHEchat A6 Plenty of energy efficiency features (eg room hits X capacity = temp drops by Y degrees) #smartcampus #LTHEchat",FALSE,2,"dompates",2017-04-05 19:59:53,FALSE,"849712298633646080","849713221078589442","17968281","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dompates",0,FALSE,FALSE,NA,NA
"203","A6... wondering if they will be 'university' learning spaces. new models are needed, I think. integrated #LTHEchat",FALSE,3,NA,2017-04-05 19:59:51,FALSE,NA,"849713211825942533",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","chrissinerantzi",0,FALSE,FALSE,NA,NA
